DataSet - List Pilates _ Yoga Studio Jabodetabek,,,,
Nama Studio,Wilayah Utama,Area Spesifik,Alamat Lengkap,Nomor Telepon
Yoona Pilates Studio Bekasi,Bekasi,Bekasi Utara,"Ruko Sinpasa, Block A33 Lantai 2",+62 851 8316 8869
Allure Pilates Studio Summarecon,Bekasi,Bekasi Utara,"Ruko Sinpasa blok A No.12, Summarecon Bekasi",+62 819 9400 0768
Yoona Pilates Studio Kemang Pratama,Bekasi,Rawalumbu,"Ruko Kemang Pratama, Jl. Kemang Pratama Raya No.10",+62 813 8899 1658
Jiwa Pilates Studio,Bekasi,Pondok Gede,Jl. Jatibening Estate No.10 Blok H2,+62 812 1999 7999
V3 Yoga Studio Bekasi,Bekasi,Pondok Gede,"AL, Jl. Berhala No.145g block B, Jatibening",+62 812 1953 078
Core Pilates Bekasi,Bekasi,Pondok Gede,Jl. Raya Jatiwaringin No. 21,+62 81210000003
Fit Studio,Bekasi,Galaxy,Ruko Grand Galaxy City,+62 81210000002
Bekasi Yoga,Bekasi,Jatiasih,Jl. Raya Jatiasih No. 100,+62 81210000001
Yoga Artha,Bogor,Ciomas,Jl. Raya Ciomas No. 15,+62 81210000012
Sadhana Yoga,Bogor,Sentul,Ruko Sentul City,+62 81210000011
D'Flow Yoga,Bogor,Tanah Sareal,Jl. Kebon Pedes No. 21,+62 81210000010
Kula Yoga,Bogor,Padjajaran,Jl. Padjajaran No. 45,+62 81210000009
Fit Me studio,Bogor,Bogor Selatan,Jl. Pahlawan No.35a,+62 81210000008
Martasya Yoga Academy,Bogor,Bogor Utara,Jl. Bogor Baru No.5 Blok B6,+62 81210000007
Yoga Studio 321,Bogor,Bogor Barat,Jl. Darul Quran No.321,+62 81210000006
Natura Yoga,Bogor,Bogor Tengah,Jl. Cikabuyutan,+62 81210000005
Nestari Studio,Bogor,Bogor Tengah,"SHU Space, Jl. Merdeka No.78 Lt. 2",+62 81210000004
Zen Studio Depok,Depok,Cinere,Cinere Bellevue Mall,+62 81210000021
Namaste Yoga,Depok,Sawangan,Ruko Sawangan Residence,+62 81210000020
Namaste Yoga Depok,Depok,Cinere,Jl. Cinere Raya No. 8A,+62 81210000019
Bodynest Yoga & Fitness,Depok,Margonda,Jl. Raya Margonda No. 471,+62 81210000018
Harini Studio,Depok,Cimanggis,"Jl. Rtm, Tugu",+62 81210000017
EXO Studio,Depok,Cilodong,"Jl. Komp. Villa Pertiwi No.6, Sukamaju",+62 81210000016
Ferensa Studio,Depok,Beji,"Kafe Dapurku, Jl. K.H.M. Usman No.161",+62 81210000015
Aetheria,Depok,Sukmajaya,"Rukan Persona view, Jl. Ir. H. Juanda Blok E4",+62 81210000014
DuaDua Studio,Depok,Sukmajaya,"Jl. Proklamasi No.2, Mekar Jaya",+62 81210000013
Karmic Studio,Jakarta Barat,Meruya,Jl. Meruya Ilir Raya No. 12,+62 81210000030
Raja Yoga Studio,Jakarta Barat,Kedoya,Jl. Panjang No. 18,+62 81210000029
iSANA Studio,Jakarta Barat,Kembangan,"Lippo Mall Puri, Lt. 1",+62 81210000028
Yoga Ganesha,Jakarta Barat,Palmerah,Jl. Kemanggisan Utama No. 1,+62 81210000027
The Yogi's Home,Jakarta Barat,Kebon Jeruk,Jl. Taman Ratu Indah Blok E3/32,+62 81210000026
Eka Yoga Studio,Jakarta Barat,Grogol Petamburan,Jl. Tanjung Duren Utara 6 No. 250,+62 81210000025
Namaste Yoga Studio,Jakarta Barat,Kembangan,Mall Puri Indah,+62 81210000024
Piyo Studio Jakarta,Jakarta Barat,Kebon Jeruk,Jl. Permata Hijau No. 17,+62 81210000023
Asana Studio,Jakarta Barat,Kembangan,Rukan Puri Mansion Blok B15,+62 81210000022
LifeStudio Pilates & Yoga,Jakarta Pusat,Cempaka Putih,Jl. Cempaka Putih Raya No. 12,+62 819 0555 2725
Pilates 4 Life,Jakarta Pusat,Tanah Abang,Jl. K.H. Mas Mansyur No. 25,+62 81210000038
Zen Body,Jakarta Pusat,Menteng,Jl. Cikini Raya No. 10,+62 81210000037
Yoga Class,Jakarta Pusat,Thamrin,Thamrin City Office Tower,+62 81210000036
Active Studio,Jakarta Pusat,Menteng,Jl. H. Agus Salim No. 67,+62 81210000035
Senayan Yoga,Jakarta Pusat,Tanah Abang,"Kawasan Senayan, Jakarta Pusat",+62 81210000034
Ashtanga Yoga Jakarta,Jakarta Pusat,Gambir,Jl. Tanah Abang I No. 18,+62 81210000033
Blissful Yoga Studio,Jakarta Pusat,Sawah Besar,Jl. Mangga Besar VIII No. 18 A,+62 81210000032
PHOENIX PILATES & YOGA STUDIO,Jakarta Pusat,Cempaka Putih,Jl. Letjen Suprapto No. 60-A,+62 81210000031
Yoga Fit Indonesia,Jakarta Selatan,Kebayoran Lama,Jl. Sultan Iskandar Muda No.18C,+62 838 1130 8999
VIBE YOGA,Jakarta Selatan,Kebayoran Baru,"Jl. Hang Tuah Raya No.14, Gunung",+62 813 9901 9388
Alder Wellness Studio,Jakarta Selatan,Kebayoran Baru,"Jl. Wijaya I No.9CD, Petogogan",+62 811 1025 337
Vinyasa Flow Studio,Jakarta Selatan,Pondok Indah,Jl. Arteri Pondok Indah No. 12,+62 81210000062
Pilates Body,Jakarta Selatan,Fatmawati,Jl. RS Fatmawati No. 39,+62 81210000061
Namaste Festival Studio,Jakarta Selatan,Cilandak,One Belpark Mall,+62 81210000060
Pilates Reforming Studio,Jakarta Selatan,Senopati,Jl. Senopati No. 61,+62 81210000059
Dini Yoga,Jakarta Selatan,Ciputat,Jl. Ir H. Juanda No. 84,+62 81210000058
Core Studio,Jakarta Selatan,Kebayoran Lama,Jl. Gandaria 1 No. 59,+62 81210000057
Fitstop,Jakarta Selatan,Kuningan,"Jl. HR Rasuna Said, Tower A",+62 81210000056
Aura Pilates,Jakarta Selatan,Pondok Indah,Jl. Sekolah Duta Raya No. 11,+62 81210000055
Maha Studio,Jakarta Selatan,Kemang,Jl. Kemang Raya No. 20,+62 81210000054
Doppio Studio,Jakarta Selatan,Cipete,Jl. Cipete Raya No. 4A,+62 81210000053
Soulbox,Jakarta Selatan,SCBD,Jl. Jend. Sudirman Kav. 52-53,+62 81210000052
Gaya Studio,Jakarta Selatan,Menteng Dalam,Jl. Prof. Dr. Satrio No.125,+62 81210000051
Yoga Shala Jakarta,Jakarta Selatan,Kemang,Jl. Bangka XIIC No. 18,+62 81210000050
Yoga at The Body Lab,Jakarta Selatan,Cilandak,Jl. Pangeran Antasari No. 88,+62 81210000049
Raga Studio,Jakarta Selatan,Lebak Bulus,Jl. Karang Tengah Raya No. 1,+62 81210000048
Jakarta Yoga,Jakarta Selatan,Kemang,Jl. Kemang Raya No. 15,+62 81210000047
GudangGudang Yoga,Jakarta Selatan,Pasar Minggu,Jl. Jati Padang Raya No. 49,+62 81210000046
Body & Mind Studio,Jakarta Selatan,Kemang,Jl. Kemang Timur No. 56,+62 81210000045
5 Elements Yoga Studio,Jakarta Selatan,Cilandak,Jl. Cipete Raya No. 41-A,+62 81210000044
Union Yoga,Jakarta Selatan,Kebayoran Lama,Jl. Bintaro Raya No. 37,+62 81210000043
SANA Studio,Jakarta Selatan,Kebayoran Baru,Jl. Wijaya Timur I No. 44,+62 81210000042
Jivaraga Space,Jakarta Selatan,Setiabudi,"Plaza Setiabudi Complex, Lantai 2",+62 81210000041
Harmony Yoga & Wellness Center,Jakarta Selatan,Kebayoran Baru,"Jl. Rajasa III No.4, Selong",+62 81210000040
Breathe Studio,Jakarta Selatan,Kebayoran Baru,"Jl. Senopati No.41C, Senayan",+62 81210000039
Yoga At Home,Jakarta Timur,Cibubur,Jl. Raya Alternatif Cibubur No. 10,+62 81210000070
Studio Pilates Indonesia,Jakarta Timur,Cakung,Kawasan Industri Pulogadung,+62 81210000069
Jasmine Yoga Studio,Jakarta Timur,Duren Sawit,Jl. Pendidikan No. 10,+62 81210000068
Yoga Time Studio,Jakarta Timur,Kramat Jati,Jl. Condet Raya No. 41,+62 81210000067
Studio Namaskara,Jakarta Timur,Kramat Jati,Jl. Raya Bogor No. 10,+62 81210000066
The Practice Jakarta,Jakarta Timur,Rawamangun,Jl. Balai Pustaka Timur No. 18,+62 81210000065
Amukti Studio,Jakarta Timur,Ciracas,Jl. Raya Ciracas No. 89,+62 81210000064
Yoga House Indonesia,Jakarta Timur,Pulo Gadung,Jl. Kayu Putih Raya No. 18,+62 81210000063
Pilates Center,Jakarta Utara,Kelapa Gading,Ruko Gading Bukit Indah,+62 81210000081
Pilates Plus,Jakarta Utara,Kelapa Gading,Mall Kelapa Gading 3,+62 81210000080
Pilates Reborn,Jakarta Utara,Pantai Indah Kapuk,Ruko Elang Laut Blok D No. 3,+62 81210000079
Namaste Yoga,Jakarta Utara,Sunter,Jl. Danau Sunter Utara Blok R 1,+62 81210000078
The Pilates Studio,Jakarta Utara,Pluit,Jl. Pluit Selatan Raya No. 89,+62 81210000077
Power Pilates,Jakarta Utara,Kelapa Gading,Jl. Boulevard Raya Blok PA 1 No. 3,+62 81210000076
Yoga for Life,Jakarta Utara,Tanjung Priok,Jl. Danau Sunter Utara Blok R-1,+62 81210000075
ReFIT Club,Jakarta Utara,Kelapa Gading,Mall Artha Gading,+62 81210000074
Zen Body Studio,Jakarta Utara,Penjaringan,Jl. Pluit Timur Raya No. 18-A,+62 81210000073
B Yoga Studio,Jakarta Utara,Kelapa Gading,Jl. Boulevard Barat Raya Blok C No. 5,+62 81210000072
Sunstone Yoga,Jakarta Utara,Penjaringan,"Ruko PIK 2, Blok A No. 12",+62 81210000071
Soul of Pilates Modernland,Tangerang,Modernland,"Ruko, Jl. Premier Park 2 No.02 BLOK AA",+62 895 2553 5992
Me Time by Nina,Tangerang,Tanah Tinggi,"Ruko Fortune, Jl. Permata Raya Taman Royal 1 No.15",+62 877 6171 7173
CESA STUDIO,Tangerang,Modernland,"Ruko, Jl. Premier Park 2 No.AB 21",+62 856 9858 009
Ohana Pilates Modernland,Tangerang,Modernland,Ruko Costa Rica CK 1 no. 20,+62 852 1705 0345
Yoga Fit Gading Serpong,Tangerang,Kelapa Dua,Jl. Boulevard Raya Gading Serpong No.37 Blok AA,+62 21 5999 5661
The Body Lab,Tangerang,Bintaro,Ruko Emerald Bintaro,+62 81210000088
Gryffindor Studio,Tangerang,Karawaci,Ruko Paramount Gading Serpong,+62 81210000087
Studio 25,Tangerang,Ciledug,Jl. Raya Ciledug No. 25,+62 81210000086
Pilates On 8,Tangerang,Gading Serpong,Ruko Sektor 7B Blok RG No. 8,+62 81210000085
Pilates Avenue,Tangerang,Bintaro,Ruko Kebayoran Arcade Blok E,+62 81210000084
The Fit Company,Tangerang,BSD,"The Breeze, Jl. BSD Green Office Park",+62 81210000083
Flow Studio,Tangerang,Alam Sutera,Ruko Alam Sutera Boulevard,+62 81210000082
